metricId,baseline,candidate,baselineLoss,candidateLoss,lossDelta,lossPctDelta,baselineSeedMean,candidateSeedMean,seedMeanDelta,seedMeanPctDelta,baselineStatus,candidateStatus
overallCompositeLoss,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.5919869747680289,0.5864457551658543,-0.005541219602174574,-0.9360374194628034,,,,,,
core_mortgageApprovals,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.6389096570029703,0.6724777733466433,0.03356811634367296,5.25396916070043,77.86069366666666,80.72531203333334,2.864618366666676,3.679158548125114,fail,fail
core_housingTransactions,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.8596413898423888,0.8865198886935981,0.026878498851209298,3.126710645719065,143.9608896,148.23972020000002,4.2788306000000205,2.972217393132878,fail,fail
core_advancesToFTB,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.5222347810902174,0.5369592158385076,0.014724434748290216,2.819504805396432,29.802501799999998,30.2322718,0.4297700000000013,1.4420601427494968,fail,fail
core_advancesToHM,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.3786594940308464,0.6322165666677854,0.25355707263693894,66.96176291205937,25.665564900000003,28.555457733333338,2.8898928333333345,11.25980606541543,fail,fail
core_advancesToBTL,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,1.9212648413535822,1.8984675989850752,-0.022797242368506998,-1.1865746917247355,22.39262696666667,21.9375825,-0.4550444666666671,-2.032117389996446,fail,fail
core_debtToIncome,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.30657565969867956,0.05164431069617258,-0.25493134900250697,-83.15446479119326,133.24847608666664,134.54123904000002,1.29276295333338,0.9701896721824789,fail,pass
core_priceToIncome,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.5313111601975586,0.3627179619455337,-0.16859319825202496,-31.731537163521384,5.101743093333333,4.992616293333333,-0.1091268000000003,-2.13901009916789,fail,fail
core_housePriceGrowth,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.010670066434244825,0.0068047218997396,-0.0038653445345052245,-36.22605874411123,0.12554441,0.10256057,-0.02298383999999999,-18.30733841514727,pass,pass
core_hpiMean,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.621871412217045,0.560050467387417,-0.061820944829627966,-9.941113808275734,1.1926533909962826,1.2275806136584062,0.03492722266212356,2.928530864524446,fail,fail
core_hpiStd,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.6113831995407881,0.3343936797138857,-0.2769895198269024,-45.30538621848786,0.31930127866601593,0.28817789838456215,-0.031123380281453783,-9.747339694811666,fail,fail
core_hpiCyclePeriod,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.800588415867187,0.8664105819458459,0.06582216607865887,8.22172351911452,118.6786282051282,110.30833333333332,-8.370294871794883,-7.052908344480843,fail,fail
rpi_mean,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.10593388386484903,0.25983781216297,0.153903928298121,145.2830035897413,1.0570792838240504,1.070327934065437,0.013248650241386661,1.2533260696831405,pass,warn
household_owning_share,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.6064398012280839,0.6181996903213902,0.011759889093306275,1.9391684169626826,76.07062776362929,77.24178412023662,1.1711563566073266,1.5395644692803194,fail,fail
household_renting_share,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.5335578345625267,0.5226141533429577,-0.010943681219569013,-2.051076848780962,22.77534167623867,21.682359417985957,-1.0929822582527144,-4.7989719486536355,fail,fail
core_ooDebtToIncome,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.85662395205247,0.8814605983531862,0.024836646300716247,2.8993639789323744,114.30467338333332,117.3097053166667,3.0050319333333704,2.628966816829671,fail,fail
core_rentalYield,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.8698813962476217,0.8314267259374741,-0.0384546703101476,-4.42067970139702,4.779457823333333,4.96795969,0.1885018666666669,3.9440010485373467,fail,fail
core_interestRateSpread,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.00014301168872805258,9.169521947040597e-05,-5.131646925764661e-05,-35.8827098078876,0.5242991,0.5251835566666667,0.0008844566666666998,0.16869314989606118,pass,pass
income_distribution_jsd,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.18972873706789664,0.19113997427882606,0.0014112372109294224,0.7438183760346198,0.08991090535613469,0.09039411411388529,0.00048320875775059724,0.5374306440766227,pass,pass
housing_wealth_distribution_jsd,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,1.3056495438912636,1.4489458803205537,0.14329633642929007,10.975099489731372,0.17246561539705127,0.18547194349707746,0.013006328100026193,7.541403583597203,fail,fail
financial_wealth_distribution_jsd,v5o2 2024 10seed 500-3500,v5o3 2024 10seed 500-3500,0.1686712574816288,0.16653580626005288,-0.0021354512215759347,-1.2660433398431987,0.07882684489475429,0.07897843350826594,0.00015158861351165231,0.19230582387769793,pass,pass
