agreement_length,assured_shorthold_households_thousands,percentage,rounded_percentage,explicit_month_length,selected_support_bound,source_path,source_url,source_page_url,source_sha256,table_name,population
6 months,812.0,23.6,24,6,True,/home/max/dev/uni/project/models/uk-housing-model-individual-project/input-data-versions/calibration-evidence/ehs-tenancy-length-v4.15/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://assets.publishing.service.gov.uk/media/6874f2a3730a1bf28e2f9321/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://www.gov.uk/government/statistics/english-housing-survey-2023-to-2024-rented-sectors,7513d4e71f0bc44119185940de8f1bf03602b52284775c7268b3ddfc848ec228,AT2_10,all private renters who have lived at the current address for less than 3 years; assured shorthold column
12 months,2111.0,61.3,61,12,False,/home/max/dev/uni/project/models/uk-housing-model-individual-project/input-data-versions/calibration-evidence/ehs-tenancy-length-v4.15/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://assets.publishing.service.gov.uk/media/6874f2a3730a1bf28e2f9321/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://www.gov.uk/government/statistics/english-housing-survey-2023-to-2024-rented-sectors,7513d4e71f0bc44119185940de8f1bf03602b52284775c7268b3ddfc848ec228,AT2_10,all private renters who have lived at the current address for less than 3 years; assured shorthold column
18 months,129.0,3.8,4,18,True,/home/max/dev/uni/project/models/uk-housing-model-individual-project/input-data-versions/calibration-evidence/ehs-tenancy-length-v4.15/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://assets.publishing.service.gov.uk/media/6874f2a3730a1bf28e2f9321/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://www.gov.uk/government/statistics/english-housing-survey-2023-to-2024-rented-sectors,7513d4e71f0bc44119185940de8f1bf03602b52284775c7268b3ddfc848ec228,AT2_10,all private renters who have lived at the current address for less than 3 years; assured shorthold column
other,391.0,11.3,11,,False,/home/max/dev/uni/project/models/uk-housing-model-individual-project/input-data-versions/calibration-evidence/ehs-tenancy-length-v4.15/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://assets.publishing.service.gov.uk/media/6874f2a3730a1bf28e2f9321/EHS_23-24_Rented_Sectors_Chapter_2_Annex_Tables.ods,https://www.gov.uk/government/statistics/english-housing-survey-2023-to-2024-rented-sectors,7513d4e71f0bc44119185940de8f1bf03602b52284775c7268b3ddfc848ec228,AT2_10,all private renters who have lived at the current address for less than 3 years; assured shorthold column
