parameter_key,band_start,rate,source_url,source_path,source_section,source_year,method,notes
DATA_NATIONAL_INSURANCE_RATES,12570,0.08,https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2024-to-2025,input-data-versions/calibration-evidence/gov-ni-class1-employee-v4.25/rates-and-thresholds-for-employers-2024-to-2025.html,Class 1 National Insurance thresholds and Employee primary contribution rates,2024/25,direct official policy-table update,Official annual Primary Threshold and Class 1 employee category A rate above PT up to UEL.
DATA_NATIONAL_INSURANCE_RATES,50270,0.02,https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2024-to-2025,input-data-versions/calibration-evidence/gov-ni-class1-employee-v4.25/rates-and-thresholds-for-employers-2024-to-2025.html,Class 1 National Insurance thresholds and Employee primary contribution rates,2024/25,direct official policy-table update,Official annual Upper Earnings Limit and Class 1 employee category A rate above UEL.
