stage,multiplier,target,target_gap,rental_income_positive_share_mean,rental_income_positive_share_stdev,active_btl_share_mean,latent_btl_share_mean,btl_stock_fraction_mean,seed_count,seeds
coarse,0.05,0.0752616555661275,0.04838979292561225,0.026871862640515255,0.002201968326931985,0.0026378955157606507,0.0036516364800578934,0.10123417545807885,4,"1,2,3,4"
coarse,0.1,0.0752616555661275,0.051343243058180506,0.023918412507946997,0.0007025165848535296,0.005295213613737208,0.0075649186050660835,0.10186560244308718,4,"1,2,3,4"
coarse,0.15,0.0752616555661275,0.05531392007333442,0.019947735492793085,0.0013130968730755918,0.007525673320964696,0.011170774217140007,0.10877983064963909,4,"1,2,3,4"
coarse,0.2,0.0752616555661275,0.05568446704870734,0.019577188517420165,0.001471031453248561,0.009669928941632886,0.014967507411504707,0.11578914491948918,4,"1,2,3,4"
coarse,0.25,0.0752616555661275,0.0575739831181345,0.017687672447993005,0.000425556402528439,0.012402144387133718,0.019097740951432664,0.12468928373126041,4,"1,2,3,4"
coarse,0.3,0.0752616555661275,0.05750335699980587,0.01775829856632163,0.0003558490593765955,0.014366854250734175,0.022158592548421778,0.12966639367018323,4,"1,2,3,4"
coarse,0.35,0.0752616555661275,0.05571294804290283,0.01954870752322467,0.000570974338714925,0.017222848006162327,0.02664092525937046,0.1358562187673515,4,"1,2,3,4"
coarse,0.4,0.0752616555661275,0.05423061813188257,0.021031037434244934,0.00034911868518171273,0.019530035798831065,0.030385239680394673,0.14108069128262077,4,"1,2,3,4"
coarse,0.45,0.0752616555661275,0.053282616511139684,0.02197903905498782,0.0007345121221923446,0.021196387652192054,0.03330227983849337,0.14452559689061634,4,"1,2,3,4"
coarse,0.5,0.0752616555661275,0.05043205467905973,0.024829600887067777,0.00046392254801616524,0.0243010284353535,0.038204755109129164,0.1503756940588562,4,"1,2,3,4"
coarse,0.55,0.0752616555661275,0.048043495313717134,0.02721816025241037,0.0010475455315837896,0.026476446491363857,0.04182887016780586,0.15379099111604666,4,"1,2,3,4"
coarse,0.6,0.0752616555661275,0.046724963083082695,0.028536692483044808,0.0005436380395288002,0.028359412983192868,0.044967995048846035,0.15687309827873402,4,"1,2,3,4"
coarse,0.65,0.0752616555661275,0.04386744314208378,0.03139421242404372,0.0006081330902984486,0.0312569916506605,0.0495692401085694,0.1652979039422543,4,"1,2,3,4"
coarse,0.7,0.0752616555661275,0.042361952617775346,0.03289970294835216,0.0009102704897055395,0.033128072131375044,0.052668120165547214,0.16586658800666296,4,"1,2,3,4"
coarse,0.75,0.0752616555661275,0.03950041915113419,0.03576123641499331,0.00046589410533838814,0.03517066098788411,0.05599752653677628,0.17190932815102722,4,"1,2,3,4"
