# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
16.0, 20.0, 8.241703159729818, 8.408880458815812, 0.0
16.0, 20.0, 8.408880458815812, 8.576057757901804, 0.07921337989340195
16.0, 20.0, 8.576057757901804, 8.743235056987798, 0.0
16.0, 20.0, 8.743235056987798, 8.910412356073792, 0.0
16.0, 20.0, 8.910412356073792, 9.077589655159784, 0.035269251975739754
16.0, 20.0, 9.077589655159784, 9.244766954245778, 0.11681676162470134
16.0, 20.0, 9.244766954245778, 9.411944253331772, 0.07794523065612939
16.0, 20.0, 9.411944253331772, 9.579121552417764, 0.04295166329718802
16.0, 20.0, 9.579121552417764, 9.746298851503758, 0.0
16.0, 20.0, 9.746298851503758, 9.913476150589752, 0.11034736261716596
16.0, 20.0, 9.913476150589752, 10.080653449675744, 0.07697114501010843
16.0, 20.0, 10.080653449675744, 10.247830748761737, 0.1267965447528028
16.0, 20.0, 10.247830748761737, 10.415008047847731, 0.20102922256938063
16.0, 20.0, 10.415008047847731, 10.582185346933723, 0.0
16.0, 20.0, 10.582185346933723, 10.749362646019717, 0.05822459106781842
16.0, 20.0, 10.749362646019717, 10.916539945105711, 0.07443484653556331
16.0, 20.0, 10.916539945105711, 11.083717244191705, 0.0
16.0, 20.0, 11.083717244191705, 11.250894543277699, 0.0
16.0, 20.0, 11.250894543277699, 11.418071842363691, 0.0
16.0, 20.0, 11.418071842363691, 11.585249141449685, 0.0
16.0, 20.0, 11.585249141449685, 11.752426440535679, 0.0
16.0, 20.0, 11.752426440535679, 11.919603739621671, 0.0
16.0, 20.0, 11.919603739621671, 12.086781038707665, 0.0
16.0, 20.0, 12.086781038707665, 12.253958337793659, 0.0
16.0, 20.0, 12.253958337793659, 12.42113563687965, 0.0
20.0, 25.0, 8.241703159729818, 8.408880458815812, 0.0013197780806216937
20.0, 25.0, 8.408880458815812, 8.576057757901804, 0.05219960452749947
20.0, 25.0, 8.576057757901804, 8.743235056987798, 0.01125268295980592
20.0, 25.0, 8.743235056987798, 8.910412356073792, 0.00919235419832316
20.0, 25.0, 8.910412356073792, 9.077589655159784, 0.013651022405499126
20.0, 25.0, 9.077589655159784, 9.244766954245778, 0.028323758924634374
20.0, 25.0, 9.244766954245778, 9.411944253331772, 0.0068600804772710865
20.0, 25.0, 9.411944253331772, 9.579121552417764, 0.012137656387556905
20.0, 25.0, 9.579121552417764, 9.746298851503758, 0.05129926697773892
