stage,multiplier,target,target_gap,rental_income_positive_share_mean,rental_income_positive_share_stdev,active_btl_share_mean,latent_btl_share_mean,btl_stock_fraction_mean,seed_count,seeds
coarse,0.05,0.0515255103048705,0.06425851227007934,0.11578402257494984,0.003714148018952102,0.0033734399477441447,0.004267875809812941,0.3613882704053304,4,"1,2,3,4"
coarse,0.1,0.0515255103048705,0.045212737484648435,0.09673824778951894,0.0032379225496729624,0.006633385101451292,0.008520779521168493,0.3623833981121599,4,"1,2,3,4"
coarse,0.15,0.0515255103048705,0.011189915890300134,0.06271542619517063,0.00193834169272987,0.010632633807079678,0.01338795084566649,0.36051493614658525,4,"1,2,3,4"
coarse,0.2,0.0515255103048705,0.006601681604938375,0.044923828699932125,0.001685729863104413,0.014089088920308645,0.01769785573671001,0.357835091615769,4,"1,2,3,4"
coarse,0.25,0.0515255103048705,0.00913222807138328,0.04239328223348722,0.0008861520771237223,0.01814824333091409,0.023033176003336042,0.35730004164353135,4,"1,2,3,4"
coarse,0.3,0.0515255103048705,0.009229799553841199,0.0422957107510293,0.0007651058471949381,0.02024916729295198,0.025860319408840517,0.3580891865630206,4,"1,2,3,4"
coarse,0.35,0.0515255103048705,0.005887810432955894,0.04563769987191461,0.0005223901637144291,0.024276551383475935,0.031063080373050188,0.36093999167129376,4,"1,2,3,4"
coarse,0.4,0.0515255103048705,0.002039353779411744,0.049486156525458756,0.0018283961242537517,0.028088984207053417,0.036246360671237265,0.3621929900055525,4,"1,2,3,4"
coarse,0.45,0.0515255103048705,0.0002290324165042934,0.051754542721374794,0.0014038284823191317,0.03083418710371187,0.03973862593218004,0.36116460299833425,4,"1,2,3,4"
coarse,0.5,0.0515255103048705,0.004040253238197546,0.055565763543068046,0.001145639947915383,0.034090344475077645,0.04406897294580344,0.3620176707384786,4,"1,2,3,4"
coarse,0.55,0.0515255103048705,0.006517026043194651,0.05804253634806515,0.001650872740927709,0.03741002320461905,0.04816356229677089,0.3625611604664076,4,"1,2,3,4"
coarse,0.6,0.0515255103048705,0.009173809887191922,0.06069932019206242,0.0005766449608170343,0.040717422056249425,0.05261667320863744,0.3634588978345364,4,"1,2,3,4"
coarse,0.65,0.0515255103048705,0.011986912248121678,0.06351242255299218,0.0009132693649331208,0.043698401677626404,0.05657547101325942,0.36413189894503056,4,"1,2,3,4"
coarse,0.7,0.0515255103048705,0.015308154667968463,0.06683366497283896,0.0017828577575575968,0.048123471251340845,0.06268063731208555,0.3622352998334259,4,"1,2,3,4"
coarse,0.75,0.0515255103048705,0.01650435046693456,0.06802986077180506,0.0008664266153748215,0.05118073480869698,0.06686649641145667,0.3631668378678512,4,"1,2,3,4"
coarse,0.8,0.0515255103048705,0.01716214051888869,0.06868765082375919,0.0015247137122122178,0.053727028239392106,0.07054151353392943,0.3602047196002221,4,"1,2,3,4"
coarse,0.85,0.0515255103048705,0.019389172936603263,0.07091468324147376,0.00112305197907977,0.05801867803467567,0.075818365248332,0.3599761660188784,4,"1,2,3,4"
coarse,0.9,0.0515255103048705,0.02162073614305461,0.07314624644792511,0.0007408218561206908,0.06213349953862289,0.08159495410974425,0.3599623681288173,4,"1,2,3,4"
coarse,0.95,0.0515255103048705,0.021278617825300578,0.07280412813017108,0.0018153863316348053,0.06289536650171515,0.0827443532775009,0.3601408384230983,4,"1,2,3,4"
coarse,1.0,0.0515255103048705,0.02496492514042943,0.07649043544529993,0.0009204403071487933,0.06819045338353538,0.0900040024458626,0.3591597168239867,4,"1,2,3,4"
coarse,1.05,0.0515255103048705,0.02503292338915969,0.07655843369403019,0.0003040078711497123,0.06919845760716961,0.09178515450338465,0.3586832315380344,4,"1,2,3,4"
coarse,1.1,0.0515255103048705,0.027227210620426906,0.0787527209252974,0.0009541227313189861,0.07256216207085234,0.09681362475232402,0.3564937395891172,4,"1,2,3,4"
coarse,1.15,0.0515255103048705,0.02924280279290431,0.08076831309777481,0.0018302085449936317,0.07506370675299506,0.1001912062265353,0.35682873403664633,4,"1,2,3,4"
coarse,1.2,0.0515255103048705,0.032793561469704566,0.08431907177457507,0.0017791788265265878,0.07971012984977112,0.10696435262345166,0.3564505830094392,4,"1,2,3,4"
