iteration,memberId,overallCompositeLoss,passCount,warnCount,failCount,normalizedSourceMovement,PSYCHOLOGICAL_COST_OF_RENTING,SENSITIVITY_RENT_OR_PURCHASE,BTL_CHOICE_INTENSITY,MARKET_AVERAGE_PRICE_DECAY
0,0,0.65346859666174,5,1,11,0.0,0.4,0.001,100.0,0.5
0,1,0.6761305846474608,5,0,12,0.21403949707012312,0.24822864452396784,0.0008507002452086586,68.79536067208322,0.4984076175711134
0,2,0.648987730740056,5,0,12,0.1461865231075575,0.31450654335269396,0.0011130527328271822,98.08805983789117,0.5889828405697304
0,3,0.7026535848999472,5,0,12,0.39090713415492007,0.5230903592223743,0.0005906265659702184,50.41315425422269,0.44735203123656087
0,4,0.6649818158247394,5,0,12,0.23106947470653497,0.5770158054794238,0.000985553242932965,82.29048542930028,0.4116462480013777
0,5,0.6677746600775633,5,0,12,0.3410867247411303,0.36186597447650426,0.0005054754104929871,135.88039200556915,0.6223933679124216
0,6,0.6673183465278466,5,1,11,0.27063386348609525,0.20808714446639986,0.0011552716963688773,65.71505633782178,0.5302799959735046
0,7,0.6484471267875085,5,1,11,0.17026328594957177,0.4021649725431311,0.0007534800082840035,100.74681340182747,0.6330007629655303
0,8,0.6536760380159016,6,0,11,0.2213658294321287,0.4456631639437875,0.0010157952403824254,60.35833821946866,0.6003231188360791
0,9,0.6597252704131771,5,0,12,0.28396179437103947,0.24071356562876056,0.0006399598038569977,109.7467629659104,0.4221484673274315
0,10,0.6619101634071329,5,0,12,0.28984525633577884,0.37644422799809574,0.0014504766725996886,75.62381254851068,0.6627568352191359
0,11,0.6607374462049488,5,0,12,0.2840931627114555,0.5857763048377654,0.0007696790967621648,147.7796347248719,0.5275136342644324
0,12,0.6552703051775377,6,0,11,0.17581894182066715,0.5351213981997905,0.0012877799312840854,90.19068743616735,0.4813128260058851
0,13,0.6840008966373914,5,0,12,0.4300482025589518,0.3297070994547052,0.0006604803307707778,54.85686659549707,0.6953349823961421
0,14,0.6392300246103233,5,2,10,0.17016413857627014,0.28192795089512157,0.0008714151756948219,115.33433199489437,0.45404481977559874
0,15,0.6410534111574768,6,0,11,0.2939225991010392,0.5046497709933874,0.0005683481172356935,74.90144957718532,0.5504566874794963
0,16,0.6422603679384203,5,1,11,0.1380341828015882,0.48648634965264304,0.0009030105279955802,113.60846161062837,0.5467170025615709
0,17,0.6642936861066212,5,0,12,0.45019572500472,0.2743701622061193,0.0005473689436473573,58.306619216667606,0.6490405061660509
0,18,0.6445172611956306,5,1,11,0.24719609723093874,0.33830776701685084,0.0012457461337621158,142.7996078295272,0.40598510573184116
0,19,0.651415687350195,5,1,11,0.3232409387580774,0.5512386658043632,0.0006812231309389935,78.26138056723379,0.6165009309281355
0,20,0.687373525609412,5,0,12,0.38142356087055684,0.5900738535087355,0.0014057754837461425,56.76821781682541,0.575254601020565
0,21,0.6632189840014319,5,0,12,0.1384575918709085,0.3984468910348388,0.0007957672601482602,87.1542958370209,0.43425913235051516
0,22,0.6627875436699858,5,0,12,0.3350817437430164,0.22213993674235374,0.001054598919302965,72.36263584026688,0.676473719276623
