parameter_key,band_start,rate,source_url,source_path,source_table,source_year,method,notes
DATA_TAX_RATES,0,0.20,https://www.gov.uk/government/publications/rates-and-allowances-income-tax/income-tax-rates-and-allowances-current-and-past,input-data-versions/calibration-evidence/gov-income-tax-rates-v4.24/income-tax-rates-and-allowances-current-and-past.html,England Northern Ireland and Wales Income Tax rates and bands,2024/25,direct official policy-table source confirmation,Basic rate band start after Personal Allowance.
DATA_TAX_RATES,37700,0.40,https://www.gov.uk/government/publications/rates-and-allowances-income-tax/income-tax-rates-and-allowances-current-and-past,input-data-versions/calibration-evidence/gov-income-tax-rates-v4.24/income-tax-rates-and-allowances-current-and-past.html,England Northern Ireland and Wales Income Tax rates and bands,2024/25,direct official policy-table source confirmation,Higher rate starts after taxable income above 37700.
DATA_TAX_RATES,125140,0.45,https://www.gov.uk/government/publications/rates-and-allowances-income-tax/income-tax-rates-and-allowances-current-and-past,input-data-versions/calibration-evidence/gov-income-tax-rates-v4.24/income-tax-rates-and-allowances-current-and-past.html,England Northern Ireland and Wales Income Tax rates and bands,2024/25,direct official policy-table source confirmation,Additional rate starts after taxable income above 125140.
