stage,multiplier,target,target_gap,rental_income_positive_share_mean,rental_income_positive_share_stdev,active_btl_share_mean,latent_btl_share_mean,btl_stock_fraction_mean,seed_count,seeds
coarse,0.05,0.0752616555661275,0.049024587470843733,0.026237068095283766,0.0018222005610993523,0.0026253850154607295,0.0036278451640738545,0.1002641032759578,8,"1,2,3,4,5,6,7,8"
coarse,0.1,0.0752616555661275,0.05226644858022735,0.02299520698590015,0.0010990168201704142,0.005285337685022093,0.007556872410991997,0.10271650471960023,8,"1,2,3,4,5,6,7,8"
coarse,0.15,0.0752616555661275,0.05599256534911564,0.019269090217011862,0.0018892882756967825,0.007641614113181577,0.01127296362093423,0.1081618614658523,8,"1,2,3,4,5,6,7,8"
coarse,0.2,0.0752616555661275,0.05629041454964347,0.018971241016484036,0.0013145371181588123,0.009764127283170148,0.014978155380611752,0.11569221265963353,8,"1,2,3,4,5,6,7,8"
coarse,0.25,0.0752616555661275,0.05723962018234828,0.01802203538377922,0.0006333236588108599,0.012274611632526357,0.01895178005247561,0.12430124930594114,8,"1,2,3,4,5,6,7,8"
coarse,0.3,0.0752616555661275,0.05712026766124979,0.01814138790487771,0.0007869415300590798,0.014476789277456102,0.022428666632147546,0.1300854039422543,8,"1,2,3,4,5,6,7,8"
coarse,0.35,0.0752616555661275,0.05520540797768311,0.020056247588444386,0.000934048738687746,0.017328129019247195,0.026962009927132626,0.13682731815657967,8,"1,2,3,4,5,6,7,8"
coarse,0.4,0.0752616555661275,0.05419440866979387,0.021067246896333634,0.000617842365824364,0.01941348514823184,0.030237445095791286,0.14122763048306497,8,"1,2,3,4,5,6,7,8"
coarse,0.45,0.0752616555661275,0.05287963025368833,0.022382025312439168,0.0007779650860658401,0.021372306097789718,0.03362483665168265,0.1449127706829539,8,"1,2,3,4,5,6,7,8"
coarse,0.5,0.0752616555661275,0.050059211458408095,0.025202444107719407,0.0007833154500267601,0.024381567095546685,0.03842571586734638,0.15083874236535258,8,"1,2,3,4,5,6,7,8"
coarse,0.55,0.0752616555661275,0.04855954067760287,0.026702114888524635,0.0010053528546959264,0.02602979632386878,0.04113010415582833,0.1532147765130483,8,"1,2,3,4,5,6,7,8"
coarse,0.6,0.0752616555661275,0.04666516892872752,0.028596486637399988,0.0007483127219434319,0.028266217000820406,0.044628655661511245,0.1583245835646863,8,"1,2,3,4,5,6,7,8"
coarse,0.65,0.0752616555661275,0.043891543432133966,0.03137011213399354,0.0005185799574106,0.031169633913806095,0.04935677534563642,0.16436132009994447,8,"1,2,3,4,5,6,7,8"
coarse,0.7,0.0752616555661275,0.04251944888457439,0.032742206681553115,0.0009268148462067556,0.03308949487982953,0.05251850685476534,0.1665995835646863,8,"1,2,3,4,5,6,7,8"
coarse,0.75,0.0752616555661275,0.03933807713101622,0.035923578435111285,0.0011631268519622197,0.03536124808727769,0.056272295922757266,0.1715942601332593,8,"1,2,3,4,5,6,7,8"
coarse,0.8,0.0752616555661275,0.038208581673182994,0.03705307389294451,0.0008843463213209321,0.03724379592569483,0.05956984589483432,0.17531282620766242,8,"1,2,3,4,5,6,7,8"
coarse,0.85,0.0752616555661275,0.03587984588456604,0.039381809681561464,0.0005922317763380335,0.03934797113358323,0.06309863206607046,0.17822637423653526,8,"1,2,3,4,5,6,7,8"
coarse,0.9,0.0752616555661275,0.03383206539074622,0.04142959017538128,0.0007622777159940569,0.0418660573024021,0.06716966634757629,0.18590709328151026,8,"1,2,3,4,5,6,7,8"
coarse,0.95,0.0752616555661275,0.03141184804265859,0.04384980752346891,0.0013999983181358505,0.04414226897979619,0.07153777070397692,0.18796072320932816,8,"1,2,3,4,5,6,7,8"
coarse,1.0,0.0752616555661275,0.028944076700202645,0.04631757886592486,0.0019071104215875093,0.04674973419151705,0.07539524325662497,0.19381143114936147,8,"1,2,3,4,5,6,7,8"
coarse,1.05,0.0752616555661275,0.027431681045142223,0.04782997452098528,0.0009047280094266735,0.048045022964083535,0.07811103737663308,0.19531237506940588,8,"1,2,3,4,5,6,7,8"
coarse,1.1,0.0752616555661275,0.024478124763557714,0.05078353080256979,0.0011791918944152617,0.050543800904955215,0.081997784042033,0.20293606329816768,8,"1,2,3,4,5,6,7,8"
coarse,1.15,0.0752616555661275,0.021551999080348182,0.05370965648577932,0.0014683478650717881,0.053366904497173934,0.08675538807671167,0.20613754164353137,8,"1,2,3,4,5,6,7,8"
coarse,1.2,0.0752616555661275,0.02087396716999628,0.05438768839613122,0.0016374005616317444,0.05481521925129838,0.08914653925823153,0.21003311354802887,8,"1,2,3,4,5,6,7,8"
coarse,1.25,0.0752616555661275,0.017608297860773447,0.057653357705354055,0.001263080645956059,0.05768627590207985,0.09458959176968805,0.2157867504164353,8,"1,2,3,4,5,6,7,8"
coarse,1.3,0.0752616555661275,0.016434948418708226,0.05882670714741928,0.0025948972485012067,0.05930315870397611,0.0972041107417932,0.21874884092171015,8,"1,2,3,4,5,6,7,8"
coarse,1.35,0.0752616555661275,0.012832926692557062,0.06242872887357044,0.0012731143613775528,0.061431622216790036,0.10045261177622868,0.2219725777345919,8,"1,2,3,4,5,6,7,8"
coarse,1.4,0.0752616555661275,0.010828919450373162,0.06443273611575434,0.0018858729158177053,0.06417672809016627,0.10520965546463243,0.2286099250416435,8,"1,2,3,4,5,6,7,8"
coarse,1.45,0.0752616555661275,0.007293159108466465,0.06796849645766104,0.0015787878125255767,0.06684553889031301,0.1098890245140706,0.2334813992226541,8,"1,2,3,4,5,6,7,8"
coarse,1.5,0.0752616555661275,0.006017337328737146,0.06924431823739036,0.0009971931526760107,0.0687543226860057,0.1126650740448982,0.23735080510827317,8,"1,2,3,4,5,6,7,8"
coarse,1.55,0.0752616555661275,0.003647887487548976,0.07161376807857853,0.0016884714008533884,0.07072794746101714,0.11683221501661814,0.2418099666851749,8,"1,2,3,4,5,6,7,8"
coarse,1.6,0.0752616555661275,0.0007216784989101388,0.07453997706721736,0.001575706325537414,0.07334172272520965,0.12133579124701084,0.246398320377568,8,"1,2,3,4,5,6,7,8"
coarse,1.65,0.0752616555661275,0.000420183774788474,0.07568183934091598,0.0018532917427345208,0.07439631098146955,0.12316613380148127,0.24881085508051082,8,"1,2,3,4,5,6,7,8"
coarse,1.7,0.0752616555661275,0.0015533935205674643,0.07681504908669497,0.001564180417040075,0.07649536927989721,0.1269745047366559,0.25199210161021657,8,"1,2,3,4,5,6,7,8"
coarse,1.75,0.0752616555661275,0.005546990950847125,0.08080864651697463,0.0013497532738751374,0.07960017087544576,0.1330331822809097,0.2572789908384231,8,"1,2,3,4,5,6,7,8"
coarse,1.8,0.0752616555661275,0.005855289736394334,0.08111694530252184,0.0013733860660485552,0.08090226898297209,0.1347265274427012,0.2582124097723487,8,"1,2,3,4,5,6,7,8"
coarse,1.85,0.0752616555661275,0.008365355011762055,0.08362701057788956,0.0018093655139042489,0.08304291432911318,0.13929681325961427,0.2633814339255969,8,"1,2,3,4,5,6,7,8"
coarse,1.9,0.0752616555661275,0.010900319979892797,0.0861619755460203,0.0015354232971291038,0.0850512918134081,0.14234286526431345,0.2653365005552471,8,"1,2,3,4,5,6,7,8"
coarse,1.95,0.0752616555661275,0.012359775348785115,0.08762143091491262,0.0012494501023460711,0.08706435039437577,0.14720199013567925,0.2697381593559134,8,"1,2,3,4,5,6,7,8"
coarse,2.0,0.0752616555661275,0.015038244378722573,0.09029989994485008,0.0013896197812841658,0.08892437632546417,0.15011966762056372,0.27238455719044974,8,"1,2,3,4,5,6,7,8"
fine,1.5,0.0752616555661275,0.006017337328737146,0.06924431823739036,0.0009971931526760107,0.0687543226860057,0.1126650740448982,0.23735080510827317,8,"1,2,3,4,5,6,7,8"
fine,1.505,0.0752616555661275,0.00656804743258553,0.06869360813354197,0.0008992182198227516,0.06852568174702078,0.11218008938085929,0.2364744169905608,8,"1,2,3,4,5,6,7,8"
fine,1.51,0.0752616555661275,0.006042694278219393,0.06921896128790811,0.0023029110323365158,0.06880730806375641,0.11332980677137122,0.23897688089950028,8,"1,2,3,4,5,6,7,8"
fine,1.515,0.0752616555661275,0.005185684073021071,0.07007597149310643,0.0007457089844605123,0.06894716674518654,0.11340825260596107,0.23932116879511384,8,"1,2,3,4,5,6,7,8"
fine,1.52,0.0752616555661275,0.0044955448007774484,0.07076611076535005,0.0011970320139181754,0.06963830601017788,0.11449272695327069,0.23988424486396448,8,"1,2,3,4,5,6,7,8"
fine,1.525,0.0752616555661275,0.00515304106456782,0.07010861450155968,0.0010505873210892706,0.06947154043093919,0.11435185115535576,0.23992702665186008,8,"1,2,3,4,5,6,7,8"
fine,1.53,0.0752616555661275,0.005674532700548199,0.0695871228655793,0.0013893928249078514,0.06932256151436744,0.1140483760822286,0.23941739311493615,8,"1,2,3,4,5,6,7,8"
fine,1.535,0.0752616555661275,0.005400122370808266,0.06986153319531924,0.0010138598883012385,0.06939412227491462,0.11389698856186796,0.23803639644641866,8,"1,2,3,4,5,6,7,8"
fine,1.54,0.0752616555661275,0.0042779227234327755,0.07098373284269473,0.001918209217198975,0.07030503081519168,0.11635761946065828,0.2414377498611882,8,"1,2,3,4,5,6,7,8"
fine,1.545,0.0752616555661275,0.0037669545935255927,0.07149470097260191,0.0016251369733876289,0.07058824695640362,0.11705203624072083,0.24149775124930595,8,"1,2,3,4,5,6,7,8"
