# National insurance contributions bands and rates for the tax year 2024-2025
# Document available at https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2024-to-2025
# Class 1 employee category A rates using official annual Primary Threshold and Upper Earnings Limit.
# National Insurance bands, National Insurance rates
12570, 0.08
50270, 0.02
