iteration,memberId,overallCompositeLoss,rankingLoss,rankingObjective,passCount,warnCount,failCount,normalizedSourceMovement,PSYCHOLOGICAL_COST_OF_RENTING,SENSITIVITY_RENT_OR_PURCHASE,BTL_PROBABILITY_MULTIPLIER,BTL_CHOICE_INTENSITY,MARKET_AVERAGE_PRICE_DECAY
0,0,0.5166098865546315,0.5166098865546315,family_aware_metric_loss,4,3,13,0.0,0.4,0.001,1.76,100.0,0.5
0,1,0.4283530777232589,0.4283530777232589,family_aware_metric_loss,8,1,11,0.26180230185731757,0.2494601516628941,0.0007938926164716471,1.0726274969214424,112.64051186527088,0.6099693056148119
0,2,0.5805212476839736,0.5805212476839736,family_aware_metric_loss,5,0,15,0.36192516230389005,0.30502499901532687,0.0010026819484637245,0.7020028578976418,54.64772191250604,0.6572295868908025
0,3,0.5281618206321467,0.5281618206321467,family_aware_metric_loss,4,2,14,0.2096903564208298,0.45633228123448266,0.0006119109417008086,1.4586851749718905,130.66960136173643,0.4632415662907847
0,4,0.4497206569969044,0.4497206569969044,family_aware_metric_loss,9,0,11,0.230534626709774,0.4322827950355123,0.0009494528333385949,0.8673618169857277,147.63786387485104,0.4227670127850637
0,5,0.6446320870680047,0.6446320870680047,family_aware_metric_loss,4,1,15,0.4733251673075835,0.37991219018861416,0.0005550863236882067,0.5068252753378227,63.34604798754559,0.6951206012035797
0,6,0.5039953398408084,0.5039953398408084,family_aware_metric_loss,5,3,12,0.1632019285312744,0.2214088253003988,0.001230025920103865,1.8043559781855858,98.85575770183279,0.5539722982612951
0,7,0.6121230082945709,0.6121230082945709,family_aware_metric_loss,5,0,15,0.3559309839177408,0.5875513529998158,0.0007451220675896916,0.5688031096130939,72.23469199084494,0.5276258708163916
0,8,0.4903443834259032,0.4903443834259032,family_aware_metric_loss,7,1,12,0.2839722070132148,0.5770993651602296,0.0011044711005993772,1.7026893517141064,58.36154359994457,0.625338818330009
0,9,0.5387306165650195,0.5387306165650195,family_aware_metric_loss,6,0,14,0.3579685931825191,0.21083183040829967,0.0006293068994224849,0.652375235983988,139.6808870760085,0.4968927321546659
0,10,0.4691262671847619,0.4691262671847619,family_aware_metric_loss,8,1,11,0.25790102423961464,0.3659245192603947,0.0014744893894519397,0.9947617225635516,67.68700001689785,0.44898609782539645
0,11,0.6425752587823532,0.6425752587823532,family_aware_metric_loss,4,1,15,0.29889276334079884,0.41806960301679913,0.0008127476822973089,0.47828658635808463,91.96367240539813,0.6349657417620396
0,12,0.5202501262284951,0.5202501262284951,family_aware_metric_loss,6,2,12,0.29807381830867385,0.49650345256144607,0.0011963438453769346,0.8051890998549279,105.68702599020298,0.6840091412736016
0,13,0.4546403125853818,0.4546403125853818,family_aware_metric_loss,7,1,12,0.24000770407243333,0.3450441609351856,0.0006766330482819944,1.3769895075278462,77.1332030540121,0.40239692303017016
0,14,0.6728988098155932,0.6728988098155932,family_aware_metric_loss,4,1,15,0.30631590646102563,0.28581909815576173,0.0009271766320149494,0.3875744328460263,120.48850397680663,0.5428289180758357
0,15,0.49277392030797806,0.49277392030797806,family_aware_metric_loss,8,0,12,0.40852772341105137,0.5516962349557362,0.0005060968493394348,1.2303704221354557,51.66258807674784,0.580703205364774
0,16,0.6033460981111827,0.6033460981111827,family_aware_metric_loss,5,0,15,0.25120764499975995,0.5378592698921237,0.0008794456432020248,0.598925221937708,95.03637592782952,0.46004083330549117
0,17,0.5292865343073075,0.5292865343073075,family_aware_metric_loss,4,2,14,0.3424772961902896,0.2758017913322818,0.0005324006549266454,1.5388255287642554,75.10126518634435,0.6608939312451052
0,18,0.6414247584048125,0.6414247584048125,family_aware_metric_loss,4,1,15,0.35617901194598534,0.3211250225637887,0.001175649550363947,0.43297460200535076,144.46366223774015,0.594093446372276
0,19,0.49328861960469556,0.49328861960469556,family_aware_metric_loss,8,1,11,0.27530665448381264,0.4941280811019606,0.0006870421084382625,0.9147517957453352,64.77149053230363,0.48904769130602843
