Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Local authority,Local authority_reference,Local authority_sort,Local authority_hierarchy,Period,Period_reference,Period_sort,Period_hierarchy,Tenure,Tenure_reference,Tenure_sort,Tenure_hierarchy,Notes
88900,88900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Local Authority (Number),1,1,,
149800,149800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Registered Social Landlord (Number),2,3,,
1243900,1243900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Owner occupied/Privately rented (Number),3,5,,
1043200,1043200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Owner occupied (Number),4,6,,Provisional
200700,200700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Privately rented (Number),5,8,,Provisional
1482600,1482600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,All tenures (Number),6,10,,
88300,88300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Local Authority (Number),1,1,,
147900,147900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Registered Social Landlord (Number),2,3,,
1241800,1241800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Owner occupied/Privately rented (Number),3,5,,
1041400,1041400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Owner occupied (Number),4,6,,
200400,200400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Privately rented (Number),5,8,,
1478000,1478000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,All tenures (Number),6,10,,
87700,87700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Local Authority (Number),1,1,,
146600,146600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Registered Social Landlord (Number),2,3,,
1238000,1238000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Owner occupied/Privately rented (Number),3,5,,
1039100,1039100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Owner occupied (Number),4,6,,
198900,198900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Privately rented (Number),5,8,,
1472400,1472400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,All tenures (Number),6,10,,
87500,87500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Local Authority (Number),1,1,,
145300,145300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Registered Social Landlord (Number),2,3,,
1234400,1234400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Owner occupied/Privately rented (Number),3,5,,
1038000,1038000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Owner occupied (Number),4,6,,
196400,196400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Privately rented (Number),5,8,,
1467200,1467200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,All tenures (Number),6,10,,
87300,87300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Local Authority (Number),1,1,,
142600,142600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Registered Social Landlord (Number),2,3,,
1230400,1230400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Owner occupied/Privately rented (Number),3,5,,
1031100,1031100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Owner occupied (Number),4,6,,
199200,199200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Privately rented (Number),5,8,,
1460200,1460200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,All tenures (Number),6,10,,
87300,87300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,Local Authority (Number),1,1,,
141200,141200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,Registered Social Landlord (Number),2,3,,
1223200,1223200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,Owner occupied/Privately rented (Number),3,5,,
1017700,1017700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,Owner occupied (Number),4,6,,
205500,205500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,Privately rented (Number),5,8,,
1451700,1451700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,All tenures (Number),6,10,,
87300,87300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2018,31/03/2018,1522540799000,,Local Authority (Number),1,1,,
139900,139900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2018,31/03/2018,1522540799000,,Registered Social Landlord (Number),2,3,,
1216300,1216300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2018,31/03/2018,1522540799000,,Owner occupied/Privately rented (Number),3,5,,
1008000,1008000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2018,31/03/2018,1522540799000,,Owner occupied (Number),4,6,,
208300,208300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2018,31/03/2018,1522540799000,,Privately rented (Number),5,8,,
1443500,1443500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2018,31/03/2018,1522540799000,,All tenures (Number),6,10,,
87200,87200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2017,31/03/2017,1491004799000,,Local Authority (Number),1,1,,
138600,138600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2017,31/03/2017,1491004799000,,Registered Social Landlord (Number),2,3,,
1208600,1208600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2017,31/03/2017,1491004799000,,Owner occupied/Privately rented (Number),3,5,,
1002500,1002500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2017,31/03/2017,1491004799000,,Owner occupied (Number),4,6,,
206100,206100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2017,31/03/2017,1491004799000,,Privately rented (Number),5,8,,
1434500,1434500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2017,31/03/2017,1491004799000,,All tenures (Number),6,10,,
87300,87300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2016,31/03/2016,1459468799000,,Local Authority (Number),1,1,,
137200,137200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2016,31/03/2016,1459468799000,,Registered Social Landlord (Number),2,3,,
1200700,1200700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2016,31/03/2016,1459468799000,,Owner occupied/Privately rented (Number),3,5,,
994200,994200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2016,31/03/2016,1459468799000,,Owner occupied (Number),4,6,,
206500,206500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2016,31/03/2016,1459468799000,,Privately rented (Number),5,8,,
1425200,1425200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2016,31/03/2016,1459468799000,,All tenures (Number),6,10,,
87800,87800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2015,31/03/2015,1427846399000,,Local Authority (Number),1,1,,
136300,136300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2015,31/03/2015,1427846399000,,Registered Social Landlord (Number),2,3,,
1191900,1191900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2015,31/03/2015,1427846399000,,Owner occupied/Privately rented (Number),3,5,,
985000,985000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2015,31/03/2015,1427846399000,,Owner occupied (Number),4,6,,
206900,206900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2015,31/03/2015,1427846399000,,Privately rented (Number),5,8,,
1416000,1416000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2015,31/03/2015,1427846399000,,All tenures (Number),6,10,,
88100,88100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2014,31/03/2014,1396310399000,,Local Authority (Number),1,1,,
135400,135400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2014,31/03/2014,1396310399000,,Registered Social Landlord (Number),2,3,,
1184100,1184100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2014,31/03/2014,1396310399000,,Owner occupied/Privately rented (Number),3,5,,
983100,983100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2014,31/03/2014,1396310399000,,Owner occupied (Number),4,6,,
201000,201000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2014,31/03/2014,1396310399000,,Privately rented (Number),5,8,,
1407600,1407600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2014,31/03/2014,1396310399000,,All tenures (Number),6,10,,
88200,88200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2013,31/03/2013,1364774399000,,Local Authority (Number),1,1,,
134800,134800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2013,31/03/2013,1364774399000,,Registered Social Landlord (Number),2,3,,
1176400,1176400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2013,31/03/2013,1364774399000,,Owner occupied/Privately rented (Number),3,5,,
981600,981600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2013,31/03/2013,1364774399000,,Owner occupied (Number),4,6,,
194800,194800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2013,31/03/2013,1364774399000,,Privately rented (Number),5,8,,
1399500,1399500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2013,31/03/2013,1364774399000,,All tenures (Number),6,10,,
88400,88400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2012,31/03/2012,1333238399000,,Local Authority (Number),1,1,,
134700,134700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2012,31/03/2012,1333238399000,,Registered Social Landlord (Number),2,3,,
1168600,1168600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2012,31/03/2012,1333238399000,,Owner occupied/Privately rented (Number),3,5,,
976900,976900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2012,31/03/2012,1333238399000,,Owner occupied (Number),4,6,,
191600,191600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2012,31/03/2012,1333238399000,,Privately rented (Number),5,8,,
1391600,1391600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2012,31/03/2012,1333238399000,,All tenures (Number),6,10,,
88700,88700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2011,31/03/2011,1301615999000,,Local Authority (Number),1,1,,
133600,133600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2011,31/03/2011,1301615999000,,Registered Social Landlord (Number),2,3,,
1161500,1161500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2011,31/03/2011,1301615999000,,Owner occupied/Privately rented (Number),3,5,,
981400,981400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2011,31/03/2011,1301615999000,,Owner occupied (Number),4,6,,
180100,180100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2011,31/03/2011,1301615999000,,Privately rented (Number),5,8,,
1383800,1383800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2011,31/03/2011,1301615999000,,All tenures (Number),6,10,,
110600,110600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2010,31/03/2010,1270079999000,,Local Authority (Number),1,1,,
110500,110500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2010,31/03/2010,1270079999000,,Registered Social Landlord (Number),2,3,,
1154200,1154200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2010,31/03/2010,1270079999000,,Owner occupied/Privately rented (Number),3,5,,
983700,983700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2010,31/03/2010,1270079999000,,Owner occupied (Number),4,6,,
170500,170500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2010,31/03/2010,1270079999000,,Privately rented (Number),5,8,,
1375200,1375200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2010,31/03/2010,1270079999000,,All tenures (Number),6,10,,
113000,113000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2009,31/03/2009,1238543999000,,Local Authority (Number),1,1,,
106900,106900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2009,31/03/2009,1238543999000,,Registered Social Landlord (Number),2,3,,
1145900,1145900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2009,31/03/2009,1238543999000,,Owner occupied/Privately rented (Number),3,5,,
989200,989200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2009,31/03/2009,1238543999000,,Owner occupied (Number),4,6,,
156700,156700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2009,31/03/2009,1238543999000,,Privately rented (Number),5,8,,
1365800,1365800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2009,31/03/2009,1238543999000,,All tenures (Number),6,10,,
129900,129900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2008,31/03/2008,1207007999000,,Local Authority (Number),1,1,,
89400,89400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2008,31/03/2008,1207007999000,,Registered Social Landlord (Number),2,3,,
1135900,1135900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2008,31/03/2008,1207007999000,,Owner occupied/Privately rented (Number),3,5,,
1001200,1001200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2008,31/03/2008,1207007999000,,Owner occupied (Number),4,6,,
134800,134800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2008,31/03/2008,1207007999000,,Privately rented (Number),5,8,,
1355300,1355300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2008,31/03/2008,1207007999000,,All tenures (Number),6,10,,
152800,152800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2007,31/03/2007,1175385599000,,Local Authority (Number),1,1,,
66600,66600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2007,31/03/2007,1175385599000,,Registered Social Landlord (Number),2,3,,
1123800,1123800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2007,31/03/2007,1175385599000,,Owner occupied/Privately rented (Number),3,5,,
1001600,1001600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2007,31/03/2007,1175385599000,,Owner occupied (Number),4,6,,
122200,122200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2007,31/03/2007,1175385599000,,Privately rented (Number),5,8,,
1343300,1343300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2007,31/03/2007,1175385599000,,All tenures (Number),6,10,,
154300,154300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2006,31/03/2006,1143849599000,,Local Authority (Number),1,1,,
65700,65700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2006,31/03/2006,1143849599000,,Registered Social Landlord (Number),2,3,,
1110600,1110600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2006,31/03/2006,1143849599000,,Owner occupied/Privately rented (Number),3,5,,
997500,997500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2006,31/03/2006,1143849599000,,Owner occupied (Number),4,6,,
113100,113100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2006,31/03/2006,1143849599000,,Privately rented (Number),5,8,,
1330600,1330600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2006,31/03/2006,1143849599000,,All tenures (Number),6,10,,
156000,156000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2005,31/03/2005,1112313599000,,Local Authority (Number),1,1,,
65100,65100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2005,31/03/2005,1112313599000,,Registered Social Landlord (Number),2,3,,
1098000,1098000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2005,31/03/2005,1112313599000,,Owner occupied/Privately rented (Number),3,5,,
989100,989100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2005,31/03/2005,1112313599000,,Owner occupied (Number),4,6,,
109000,109000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2005,31/03/2005,1112313599000,,Privately rented (Number),5,8,,
1319100,1319100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2005,31/03/2005,1112313599000,,All tenures (Number),6,10,,
159700,159700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2004,31/03/2004,1080777599000,,Local Authority (Number),1,1,,
64500,64500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2004,31/03/2004,1080777599000,,Registered Social Landlord (Number),2,3,,
1083000,1083000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2004,31/03/2004,1080777599000,,Owner occupied/Privately rented (Number),3,5,,
979300,979300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2004,31/03/2004,1080777599000,,Owner occupied (Number),4,6,,
103700,103700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2004,31/03/2004,1080777599000,,Privately rented (Number),5,8,,
1307200,1307200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2004,31/03/2004,1080777599000,,All tenures (Number),6,10,,
175600,175600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2003,31/03/2003,1049155199000,,Local Authority (Number),1,1,,
57200,57200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2003,31/03/2003,1049155199000,,Registered Social Landlord (Number),2,3,,
1063300,1063300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2003,31/03/2003,1049155199000,,Owner occupied/Privately rented (Number),3,5,,
966000,966000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2003,31/03/2003,1049155199000,,Owner occupied (Number),4,6,,
97400,97400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2003,31/03/2003,1049155199000,,Privately rented (Number),5,8,,
1296100,1296100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2003,31/03/2003,1049155199000,,All tenures (Number),6,10,,
183000,183000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2002,31/03/2002,1017619199000,,Local Authority (Number),1,1,,
56700,56700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2002,31/03/2002,1017619199000,,Registered Social Landlord (Number),2,3,,
1045500,1045500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2002,31/03/2002,1017619199000,,Owner occupied/Privately rented (Number),3,5,,
957000,957000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2002,31/03/2002,1017619199000,,Owner occupied (Number),4,6,,
88500,88500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2002,31/03/2002,1017619199000,,Privately rented (Number),5,8,,
1285200,1285200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2002,31/03/2002,1017619199000,,All tenures (Number),6,10,,
187900,187900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2001,31/03/2001,986083199000,,Local Authority (Number),1,1,,
55000,55000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2001,31/03/2001,986083199000,,Registered Social Landlord (Number),2,3,,
1031600,1031600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2001,31/03/2001,986083199000,,Owner occupied/Privately rented (Number),3,5,,
941200,941200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2001,31/03/2001,986083199000,,Owner occupied (Number),4,6,,
90400,90400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2001,31/03/2001,986083199000,,Privately rented (Number),5,8,,
1274500,1274500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2001,31/03/2001,986083199000,,All tenures (Number),6,10,,
4000,4000,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2024,31/03/2024,1711929599000,,Local Authority (Number),1,1,,
1200,1200,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2024,31/03/2024,1711929599000,,Registered Social Landlord (Number),2,3,,
31500,31500,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2024,31/03/2024,1711929599000,,Owner occupied/Privately rented (Number),3,5,,
27200,27200,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2024,31/03/2024,1711929599000,,Owner occupied (Number),4,6,,Provisional
4300,4300,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2024,31/03/2024,1711929599000,,Privately rented (Number),5,8,,Provisional
36700,36700,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2024,31/03/2024,1711929599000,,All tenures (Number),6,10,,
3900,3900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2023,31/03/2023,1680307199000,,Local Authority (Number),1,1,,
1100,1100,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2023,31/03/2023,1680307199000,,Registered Social Landlord (Number),2,3,,
31500,31500,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2023,31/03/2023,1680307199000,,Owner occupied/Privately rented (Number),3,5,,
27100,27100,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2023,31/03/2023,1680307199000,,Owner occupied (Number),4,6,,
4300,4300,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2023,31/03/2023,1680307199000,,Privately rented (Number),5,8,,
36600,36600,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2023,31/03/2023,1680307199000,,All tenures (Number),6,10,,
3900,3900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2022,31/03/2022,1648771199000,,Local Authority (Number),1,1,,
1100,1100,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2022,31/03/2022,1648771199000,,Registered Social Landlord (Number),2,3,,
31400,31400,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2022,31/03/2022,1648771199000,,Owner occupied/Privately rented (Number),3,5,,
27500,27500,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2022,31/03/2022,1648771199000,,Owner occupied (Number),4,6,,
3800,3800,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2022,31/03/2022,1648771199000,,Privately rented (Number),5,8,,
36300,36300,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2022,31/03/2022,1648771199000,,All tenures (Number),6,10,,
3900,3900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2021,31/03/2021,1617235199000,,Local Authority (Number),1,1,,
1100,1100,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2021,31/03/2021,1617235199000,,Registered Social Landlord (Number),2,3,,
31300,31300,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2021,31/03/2021,1617235199000,,Owner occupied/Privately rented (Number),3,5,,
27500,27500,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2021,31/03/2021,1617235199000,,Owner occupied (Number),4,6,,
3800,3800,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2021,31/03/2021,1617235199000,,Privately rented (Number),5,8,,
36200,36200,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2021,31/03/2021,1617235199000,,All tenures (Number),6,10,,
3900,3900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2020,31/03/2020,1585699199000,,Local Authority (Number),1,1,,
1100,1100,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2020,31/03/2020,1585699199000,,Registered Social Landlord (Number),2,3,,
31000,31000,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2020,31/03/2020,1585699199000,,Owner occupied/Privately rented (Number),3,5,,
27000,27000,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2020,31/03/2020,1585699199000,,Owner occupied (Number),4,6,,
4000,4000,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2020,31/03/2020,1585699199000,,Privately rented (Number),5,8,,
35900,35900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2020,31/03/2020,1585699199000,,All tenures (Number),6,10,,
3800,3800,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2019,31/03/2019,1554076799000,,Local Authority (Number),1,1,,
1000,1000,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2019,31/03/2019,1554076799000,,Registered Social Landlord (Number),2,3,,
30900,30900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2019,31/03/2019,1554076799000,,Owner occupied/Privately rented (Number),3,5,,
26800,26800,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2019,31/03/2019,1554076799000,,Owner occupied (Number),4,6,,
4100,4100,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2019,31/03/2019,1554076799000,,Privately rented (Number),5,8,,
35700,35700,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2019,31/03/2019,1554076799000,,All tenures (Number),6,10,,
3800,3800,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2018,31/03/2018,1522540799000,,Local Authority (Number),1,1,,
900,900,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2018,31/03/2018,1522540799000,,Registered Social Landlord (Number),2,3,,
30800,30800,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2018,31/03/2018,1522540799000,,Owner occupied/Privately rented (Number),3,5,,
26400,26400,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2018,31/03/2018,1522540799000,,Owner occupied (Number),4,6,,
4400,4400,Dwelling stock estimates,1,1,,Isle of Anglesey,W06000001,2,WXX000001,31/03/2018,31/03/2018,1522540799000,,Privately rented (Number),5,8,,
