metricId,baseline,candidate,baselineLoss,candidateLoss,lossDelta,lossPctDelta,baselineSeedMean,candidateSeedMean,seedMeanDelta,seedMeanPctDelta,baselineStatus,candidateStatus
overallCompositeLoss,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.5652252115924438,0.5211689956810397,-0.04405621591140407,-7.794453433399013,,,,,,
core_mortgageApprovals,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.25899406469405045,0.002696046103964054,-0.2562980185900864,-98.95903170323656,53.22375833333333,52.1631288,-1.0606295333333264,-1.992774592674844,warn,pass
core_housingTransactions,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.7666780784607714,0.7494896813372328,-0.01718839712353859,-2.241931471165452,100.3713207,98.86344700000001,-1.5078736999999904,-1.5022953663296676,fail,fail
core_advancesToFTB,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.8140880286300874,0.798443638502774,-0.015644390127313446,-1.9217074293107046,23.084593633333334,22.711622766666668,-0.372970866666666,-1.6156700550626517,fail,fail
core_advancesToHM,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.7895962307439611,0.8566883305938733,0.06709209984991216,8.497013693530132,18.850317233333335,17.6382297,-1.2120875333333352,-6.430064376794574,fail,fail
core_advancesToBTL,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.9343972160667526,0.9787420662774601,0.04434485021070744,4.745824307714919,11.288847466666667,11.813276333333334,0.5244288666666677,4.645548345082913,fail,fail
core_debtToIncome,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.9852545340043908,0.9813270603814152,-0.00392747362297563,-0.39862527777599926,99.940344,100.17457329333334,0.23422929333334253,0.23436910856875032,fail,fail
core_priceToIncome,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.9091021694511033,0.9300011988878509,0.020899029436747596,2.2988647633924346,6.398965686666667,6.53538964,0.1364239533333329,2.131968821423678,fail,fail
core_housePriceGrowth,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.011442978226715595,0.011329167225490105,-0.00011381100122549032,-0.9945924825739771,0.049706469999999996,0.07098717333333333,0.021280703333333338,42.812743156642064,pass,pass
core_hpiMean,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.5688200294418039,0.5141318051889904,-0.0546882242528135,-9.614328156918157,1.0494249640865767,1.1242252269893538,0.07480026290277708,7.127738091106256,fail,fail
core_hpiStd,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.6181423852892152,0.5170062921555114,-0.10113609313370375,-16.361294022312418,0.2241681439019477,0.24423298573201296,0.020064841830065266,8.950799824100669,fail,fail
core_hpiCyclePeriod,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.4214501134599785,0.09999999999999998,-0.32145011345997854,-76.27239931696064,147.34666666666666,162.76666666666668,15.420000000000016,10.465116279069779,fail,pass
rpi_mean,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.46204884836002874,0.15279257115916725,-0.30925627720086146,-66.93151131065882,1.0194358432055364,1.008909087514671,-0.010526755690865475,-1.032606000762629,fail,warn
household_owning_share,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.5276020698317662,0.5379896557268609,0.010387585895094698,1.9688296329858856,62.80534900362885,61.81349246499708,-0.9918565386317653,-1.5792548793486627,fail,fail
household_renting_share,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.529745215304795,0.5392044818925861,0.00945926658779106,1.7856256771188697,20.41017045632907,21.31878759400569,0.9086171376766217,4.451786130942699,fail,fail
core_ooDebtToIncome,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.8207896662740422,0.8403493973469127,0.019559731072870568,2.383038173672625,71.68660588333333,70.35053973333333,-1.3360661499999935,-1.863759810548682,fail,fail
core_rentalYield,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.7916561516054726,0.8263466383713172,0.03469048676584452,4.382014425769632,4.3409883366666655,4.200536393333333,-0.14045194333333288,-3.2354830845084086,fail,fail
core_interestRateSpread,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.6420059608851172,0.6410340688635873,-0.0009718920215299187,-0.151383644505418,2.9987354033333333,2.9956662466666666,-0.003069156666666739,-0.10234836535611401,fail,fail
income_distribution_jsd,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.08645360545685617,0.08431833257213937,-0.0021352728847167934,-2.4698482769262653,0.04044199986435087,0.04016191659487059,-0.0002800832694802788,-0.6925554384543895,pass,pass
housing_wealth_distribution_jsd,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.17241587242551903,0.16594321093756448,-0.006472661487954556,-3.7540983883317613,0.07840203718359898,0.07651544448837286,-0.0018865926952261192,-2.4063057070930016,pass,pass
financial_wealth_distribution_jsd,v0 2011 10seed 500-3500,v0o7 2011 10seed 500-3500,0.19382101323644835,0.19554627009609687,0.0017252568596485274,0.8901289033835729,0.0916428758426244,0.09242267670210408,0.000779800859479679,0.8509126894040384,pass,pass
