month_end,spread_fraction,credit_per_household,delta_spread_fraction,delta_credit_per_household
1995-03-31,0.002774259374848258,167.86713286713288,,
1995-04-30,0.006481252080994641,148.91608391608392,0.0037069927061463832,-18.95104895104896
1995-05-31,0.007701758011937558,166.74825174825176,0.0012205059309429167,17.83216783216784
1995-06-30,0.007643971204920366,185.52447552447552,-5.778680701719243e-05,18.77622377622376
1995-07-31,0.00656950517775841,175.3846153846154,-0.0010744660271619555,-10.139860139860133
1995-08-31,0.009249204194149626,185.13986013986013,0.0026796990163912154,9.755244755244746
1995-09-30,0.01231753010707433,171.36363636363637,0.003068325912924705,-13.776223776223759
1995-10-31,0.01170719451094716,164.8951048951049,-0.0006103355961271702,-6.4685314685314665
1995-11-30,0.014738866108723441,182.5174825174825,0.0030316715977762813,17.6223776223776
1995-12-31,0.01783434741871344,165.27972027972027,0.003095481309989998,-17.23776223776224
1996-01-31,0.005054107352395025,150.55944055944056,-0.012780240066318414,-14.720279720279706
1996-02-29,0.0035442229150636877,148.32167832167832,-0.0015098844373313373,-2.23776223776224
1996-03-31,-0.001015181010012869,184.8951048951049,-0.004559403925076557,36.57342657342659
1996-04-30,-0.0009467459337375583,177.93706293706293,6.843507627531066e-05,-6.958041958041974
1996-05-31,0.003409183177130082,216.25874125874125,0.00435592911086764,38.32167832167832
1996-06-30,0.005664054312565554,213.14685314685315,0.002254871135435472,-3.1118881118881063
1996-07-31,0.007859415274809383,243.35664335664336,0.0021953609622438293,30.209790209790214
1996-08-31,0.008027908423581387,237.69230769230768,0.00016849314877200386,-5.664335664335681
1996-09-30,0.0072810077446862475,211.74825174825176,-0.0007469006788951398,-25.94405594405592
1996-10-31,0.006030683362118676,233.28671328671328,-0.001250324382567571,21.53846153846152
1996-11-30,0.001657224836736839,236.53846153846155,-0.004373458525381837,3.2517482517482676
1996-12-31,0.004778007025041831,215.6993006993007,0.003120782188304992,-20.839160839160854
1997-01-31,0.005905918504621352,178.28671328671328,0.0011279114795795207,-37.41258741258741
1997-02-28,0.008835865516055658,174.58041958041957,0.002929947011434306,-3.7062937062937067
1997-03-31,0.00466956682826277,191.01398601398603,-0.004166298687792888,16.433566433566455
1997-04-30,0.003813541816600345,203.63636363636363,-0.0008560250116624252,12.622377622377599
1997-05-31,0.004294675379440278,223.1118881118881,0.0004811335628399334,19.47552447552448
1997-06-30,0.0031494374037207614,243.35664335664336,-0.0011452379757195168,20.244755244755254
1997-07-31,0.002088647042116136,269.16083916083915,-0.0010607903616046254,25.804195804195786
1997-08-31,0.001964992251322153,245.06993006993008,-0.0001236547907939832,-24.090909090909065
1997-09-30,0.002333044512281726,236.6083916083916,0.0003680522609595732,-8.461538461538481
1997-10-31,0.002484794776523804,243.8111888111888,0.00015175026424207785,7.2027972027972
1997-11-30,0.000488822324941669,217.5874125874126,-0.001995972451582135,-26.223776223776213
1997-12-31,0.003323883377072692,226.8881118881119,0.0028350610521310233,9.300699300699307
