month_end,bank_rate_fraction
2024-01-31,0.0525
2024-02-29,0.0525
2024-03-31,0.0525
2024-04-30,0.0525
2024-05-31,0.0525
2024-06-30,0.0525
2024-07-31,0.0525
2024-08-31,0.05
2024-09-30,0.05
2024-10-31,0.05
2024-11-30,0.048
2024-12-31,0.0475
