month_end,spread_fraction,credit_per_household,delta_spread_fraction,delta_credit_per_household
2024-01-31,0.005278707362670447,588.4265734265734,,
2024-02-29,0.003083474590368747,576.5734265734266,-0.0021952327723017,-11.853146853146882
2024-03-31,0.0052733109813558965,606.6083916083916,0.0021898363909871495,30.034965034965012
2024-04-30,0.004401329138464201,666.6083916083916,-0.0008719818428916956,60.0
2024-05-31,0.006321420249883545,737.4125874125874,0.0019200911114193439,70.80419580419584
2024-06-30,0.0066156251836580445,686.7832167832167,0.00029420493377449973,-50.62937062937067
2024-07-31,0.0063757789233206096,767.5174825174826,-0.00023984626033743493,80.73426573426582
2024-08-31,0.007641352166442656,776.5034965034965,0.0012655732431220467,8.986013986013972
2024-09-30,0.007593864679099389,702.6923076923077,-4.748748734326701e-05,-73.8111888111888
2024-10-31,0.004355699433225699,851.5734265734266,-0.0032381652458736906,148.88111888111882
2024-11-30,0.003464527457003541,779.6853146853147,-0.0008911719762221574,-71.8881118881119
2024-12-31,0.004538682238309004,718.8811188811189,0.001074154781305463,-60.80419580419573
