month_end,spread_percentage_points
1995-03-31,0.2774259374848258
1995-04-30,0.6481252080994642
1995-05-31,0.7701758011937558
1995-06-30,0.7643971204920366
1995-07-31,0.656950517775841
1995-08-31,0.9249204194149625
1995-09-30,1.231753010707433
1995-10-31,1.170719451094716
1995-11-30,1.473886610872344
1995-12-31,1.783434741871344
1996-01-31,0.5054107352395025
1996-02-29,0.3544222915063688
1996-03-31,-0.1015181010012869
1996-04-30,-0.09467459337375583
1996-05-31,0.3409183177130082
1996-06-30,0.5664054312565554
1996-07-31,0.7859415274809383
1996-08-31,0.8027908423581387
1996-09-30,0.7281007744686248
1996-10-31,0.6030683362118676
1996-11-30,0.1657224836736839
1996-12-31,0.4778007025041831
1997-01-31,0.5905918504621352
1997-02-28,0.8835865516055659
1997-03-31,0.466956682826277
1997-04-30,0.3813541816600345
1997-05-31,0.4294675379440278
1997-06-30,0.3149437403720761
1997-07-31,0.2088647042116136
1997-08-31,0.1964992251322153
1997-09-30,0.2333044512281726
1997-10-31,0.2484794776523804
1997-11-30,0.0488822324941669
1997-12-31,0.3323883377072692
1998-01-31,0.5938015844086504
1998-02-28,0.5999133395590173
1998-03-31,0.496445231354973
1998-04-30,0.7397700435756063
1998-05-31,0.7021837923527583
1998-06-30,0.2345756993933978
1998-07-31,0.2489054082569124
1998-08-31,0.8144694778985517
1998-09-30,1.324957254207381
1998-10-31,1.514910114794489
1998-11-30,1.289952367070521
1998-12-31,1.458252695977902
1999-01-31,1.205631390701748
1999-02-28,1.073865387586181
1999-03-31,0.8476758414166445
1999-04-30,0.8852616076135202
1999-05-31,0.7715927032254566
1999-06-30,0.771746422135112
1999-07-31,0.7310692704843751
1999-08-31,0.5120190979189649
1999-09-30,0.2851693884441371
1999-10-31,0.3018192901559456
1999-11-30,0.5458837224255104
1999-12-31,0.3011419504209618
2000-01-31,0.2917284513968736
2000-02-29,0.4346639226666822
2000-03-31,0.2129623654530333
2000-04-30,0.1198369433956001
2000-05-31,0.2169658130028669
2000-06-30,0.4452921148585496
2000-07-31,0.4630371436495295
2000-08-31,0.3879886410331634
2000-09-30,0.4134467971800184
2000-10-31,0.3180746639139356
2000-11-30,0.54034544993831
2000-12-31,0.7420114892931666
2001-01-31,0.635552333287464
2001-02-28,0.5899975568217597
2001-03-31,0.7601593611523105
2001-04-30,0.7292084736467572
2001-05-31,0.588062239143154
2001-06-30,0.4234510936852001
2001-07-31,0.6386452017479511
2001-08-31,0.6163475833633081
2001-09-30,0.7550774906306534
2001-10-31,0.6305843544154985
2001-11-30,0.6787988975310029
2001-12-31,0.4557753005437988
2002-01-31,0.4228454084272366
2002-02-28,0.4930702509967029
2002-03-31,0.309163577964604
2002-04-30,0.4946515388536197
2002-05-31,0.5702381314936975
2002-06-30,0.6492215886387216
2002-07-31,0.8139783067125075
2002-08-31,0.5111819128804553
2002-09-30,0.6303997324972106
2002-10-31,0.5417611835992626
2002-11-30,0.4938144985024442
2002-12-31,0.6842819471363919
2003-01-31,0.7494371059176066
2003-02-28,0.7268442116919771
2003-03-31,0.6120980335443456
2003-04-30,0.4948152517984479
2003-05-31,0.4913773810511874
2003-06-30,0.5062318783655488
2003-07-31,0.4065392087276609
2003-08-31,0.3731226361515958
2003-09-30,0.4835223875350998
2003-10-31,0.6267970249329977
2003-11-30,0.5824324239477603
2003-12-31,0.6897619514148294
2004-01-31,0.6419488305459815
2004-02-29,0.5594038041268856
2004-03-31,0.541345608478089
2004-04-30,0.5353325830187865
2004-05-31,0.3579609704748101
2004-06-30,0.5030204982638535
2004-07-31,0.6054691573996109
2004-08-31,0.6252097412998188
2004-09-30,0.6214338967867272
2004-10-31,0.7641021037342179
2004-11-30,0.5792647292415563
2004-12-31,0.691526678236742
2005-01-31,0.6177789463032077
2005-02-28,0.5373133838921085
2005-03-31,0.4754840182672755
2005-04-30,0.6104732817909042
2005-05-31,0.5846348595033506
2005-06-30,0.5809779715009338
2005-07-31,0.5013842544602252
2005-08-31,0.3685315535080527
2005-09-30,0.4053235648138207
2005-10-31,0.3427347446804543
2005-11-30,0.4595396773230274
2005-12-31,0.5033480905420937
2006-01-31,0.4388692393420941
2006-02-28,0.4922073871080812
2006-03-31,0.3520807756892301
2006-04-30,0.2924826911292131
2006-05-31,0.3009109179687162
2006-06-30,0.2623877163647226
2006-07-31,0.2806308025722775
2006-08-31,0.2405181330511823
2006-09-30,0.2543484448214812
2006-10-31,0.06049969785279163
2006-11-30,0.2661490056162235
2006-12-31,0.1522131357018779
2007-01-31,0.03815903030535672
2007-02-28,0.1392813522899958
2007-03-31,0.3079829136995098
2007-04-30,0.2060520293056269
2007-05-31,0.1419677339859629
2007-06-30,0.2392502983769171
2007-07-31,0.3675499708860785
2007-08-31,0.674533291273498
2007-09-30,0.931954329810555
2007-10-31,1.063671484553658
2007-11-30,1.431759020747711
2007-12-31,1.559374174325336
2008-01-31,1.721447390163278
2008-02-29,1.568449413717294
2008-03-31,1.920468066122844
2008-04-30,1.904768657582772
2008-05-31,1.616627015155915
2008-06-30,1.399128002358591
2008-07-31,1.415830188758122
2008-08-31,1.390380094072579
2008-09-30,1.600815523321177
2008-10-31,2.283810255159423
2008-11-30,2.815724699821634
2008-12-31,3.184810759824823
2009-01-31,3.09000660904483
2009-02-28,3.323148625443336
2009-03-31,2.932408544983516
2009-04-30,2.808521084072796
2009-05-31,2.776782596388434
2009-06-30,2.931339912156146
2009-07-31,2.859800859343699
2009-08-31,2.772802258497431
2009-09-30,2.980278563082543
2009-10-31,2.846945462836244
2009-11-30,2.668880839185882
2009-12-31,2.664532057925274
2010-01-31,2.576309382321254
2010-02-28,2.72546482586147
2010-03-31,2.771859060464394
2010-04-30,2.657156353751998
2010-05-31,2.824640797696899
2010-06-30,2.769453031793458
2010-07-31,2.906119186364459
2010-08-31,2.952462305701066
2010-09-30,3.028260313766696
2010-10-31,2.96477511100393
2010-11-30,2.706694975795973
2010-12-31,2.542871511114015
2011-01-31,2.533172784264755
2011-02-28,2.278188268776438
2011-03-31,2.381358686667668
2011-04-30,2.380387969780412
2011-05-31,2.488413498565968
2011-06-30,2.487858146396608
2011-07-31,2.362641682687351
2011-08-31,2.487691312484377
2011-09-30,2.480755020536838
2011-10-31,2.490290966862446
2011-11-30,2.617515473489149
2011-12-31,2.77266775877155
2012-01-31,2.801022317598186
2012-02-29,2.853368157381706
2012-03-31,2.8669887839915
2012-04-30,3.096328540034741
2012-05-31,3.182573512575718
2012-06-30,3.366656057804798
